# iterazione   metodo_sqrt              metodo_rapporto
   84      250.866345209901453      250.866345209901539
   85      250.866345209901510      250.866345209901482
   86      250.866345209901510      250.866345209901510
   87      250.866345209901510      250.866345209901539
   88      250.866345209901567      250.866345209901567
   89      250.866345209901482      250.866345209901453
   90      250.866345209901567      250.866345209901567
   91      250.866345209901624      250.866345209901510
   92      250.866345209901482      250.866345209901539
   93      250.866345209901624      250.866345209901482
   94      250.866345209901482      250.866345209901510
   95      250.866345209901482      250.866345209901539
   96      250.866345209901453      250.866345209901539
   97      250.866345209901510      250.866345209901510
   98      250.866345209901425      250.866345209901510
   99      250.866345209901652      250.866345209901539
  100      250.866345209901567      250.866345209901567
  101      250.866345209901539      250.866345209901482
  102      250.866345209901510      250.866345209901539
  103      250.866345209901397      250.866345209901539
  104      250.866345209901596      250.866345209901510
  105      250.866345209901652      250.866345209901539
  106      250.866345209901482      250.866345209901510
  107      250.866345209901425      250.866345209901539
  108      250.866345209901453      250.866345209901539
  109      250.866345209901596      250.866345209901539
  110      250.866345209901453      250.866345209901510
  111      250.866345209901510      250.866345209901482
  112      250.866345209901453      250.866345209901567
  113      250.866345209901510      250.866345209901510
  114      250.866345209901453      250.866345209901539
  115      250.866345209901539      250.866345209901482
  116      250.866345209901510      250.866345209901482
  117      250.866345209901652      250.866345209901510
  118      250.866345209901510      250.866345209901539
  119      250.866345209901453      250.866345209901567
  120      250.866345209901510      250.866345209901539
  121      250.866345209901567      250.866345209901482
  122      250.866345209901596      250.866345209901539
  123      250.866345209901681      250.866345209901510
  124      250.866345209901482      250.866345209901539
  125      250.866345209901567      250.866345209901539
  126      250.866345209901453      250.866345209901539
  127      250.866345209901510      250.866345209901482
  128      250.866345209901539      250.866345209901482
  129      250.866345209901539      250.866345209901482
  130      250.866345209901539      250.866345209901482
  131      250.866345209901539      250.866345209901482
  132      250.866345209901539      250.866345209901482
  133      250.866345209901539      250.866345209901482
  134      250.866345209901539      250.866345209901482
  135      250.866345209901539      250.866345209901482
  136      250.866345209901539      250.866345209901482
  137      250.866345209901539      250.866345209901482
  138      250.866345209901539      250.866345209901482
  139      250.866345209901539      250.866345209901482
  140      250.866345209901539      250.866345209901482
  141      250.866345209901539      250.866345209901482
  142      250.866345209901539      250.866345209901482
  143      250.866345209901539      250.866345209901482
  144      250.866345209901539      250.866345209901482
  145      250.866345209901539      250.866345209901482
  146      250.866345209901539      250.866345209901482
  147      250.866345209901539      250.866345209901482
  148      250.866345209901539      250.866345209901482
  149      250.866345209901539      250.866345209901482
  150      250.866345209901539      250.866345209901482
  151      250.866345209901539      250.866345209901482
  152      250.866345209901539      250.866345209901482
  153      250.866345209901539      250.866345209901482
  154      250.866345209901539      250.866345209901482
  155      250.866345209901539      250.866345209901482
  156      250.866345209901539      250.866345209901482
  157      250.866345209901539      250.866345209901482
  158      250.866345209901539      250.866345209901482
  159      250.866345209901539      250.866345209901482
  160      250.866345209901539      250.866345209901482
  161      250.866345209901539      250.866345209901482
  162      250.866345209901539      250.866345209901482
  163      250.866345209901539      250.866345209901482
  164      250.866345209901539      250.866345209901482
  165      250.866345209901539      250.866345209901482
  166      250.866345209901539      250.866345209901482
  167      250.866345209901539      250.866345209901482
  168      250.866345209901539      250.866345209901482
  169      250.866345209901539      250.866345209901482
  170      250.866345209901539      250.866345209901482
  171      250.866345209901539      250.866345209901482
  172      250.866345209901539      250.866345209901482
  173      250.866345209901539      250.866345209901482
  174      250.866345209901539      250.866345209901482
  175      250.866345209901539      250.866345209901482
  176      250.866345209901539      250.866345209901482
  177      250.866345209901539      250.866345209901482
  178      250.866345209901539      250.866345209901482
  179      250.866345209901539      250.866345209901482
  180      250.866345209901539      250.866345209901482
  181      250.866345209901539      250.866345209901482
  182      250.866345209901539      250.866345209901482
